角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
商人,0:04:14.523000,40,40
商人信众,0:00:52.135000,6,6
商华,0:02:27.917000,23,23
喜儿,0:00:02.340000,1,1
喝彩的观众,0:00:02.560000,1,1
嘉久,0:00:59.253000,13,13
嘉义,0:02:34.221000,27,27
嘉玛,0:08:45.545000,75,75
嘉玮,0:00:06.161000,1,1
嘉良,0:08:06.456000,78,78
嘉铭,0:00:01.585000,1,1
嘟嘟大魔王,0:00:24.409000,3,3
嘲笑的观众,0:00:11.100000,3,3
回声海螺,0:13:56.369000,96,96
回忆中的声音,0:00:40.561000,11,11
回忆中的小五,0:00:29.895000,4,4
回忆中的木木,0:00:24.813000,4,4
回忆中的狼哥,0:00:14.485000,3,3
回忆中的老孟,0:00:12.585000,2,2
回忆中的聪子,0:00:31.759000,4,4
回忆心声,0:00:08.271000,2,2
回过神来的观众,0:00:06.116000,1,1
困惑的观众,0:00:09.584000,3,3
国王,0:00:43.291000,13,13
图斯,0:01:06.740000,8,8
图昂,0:01:05.916000,9,9
图曼,0:00:05.473000,2,2
图马特,0:00:21.408000,3,3
土门,0:01:26.819000,17,17
坂本,0:00:13.812000,4,4
坎蒂丝,0:35:09.511000,280,280
坦吉,0:00:02.643000,1,1
埃克朗谢,0:00:09.995000,3,3
埃兰,0:01:38.245000,18,18
埃勒曼,0:09:29.929000,95,95
埃塞尔雷德,0:01:05.173000,10,10
埃夫拉,0:00:09.667000,1,1
埃尔凡,0:00:10.173000,3,3
埃尔庇艾,0:00:14.752000,3,3
埃尔欣根,0:08:16.135000,44,44
埃德,0:29:40.409000,254,254
埃德蒙多,0:02:22.853000,16,16
埃斯蒙德,0:03:30.736000,36,36
埃松,0:00:09.707000,3,3
埃桑,0:00:14.368000,5,5
埃泽,0:07:00.192000,70,70
埃洛伊,0:09:15.321000,120,120
埃米雷德,0:00:38.836000,12,12
埃舍尔,0:03:01.429000,19,19
城门守卫,0:00:18.736000,3,3
基娅拉,0:03:43.475000,45,45
基翁,0:00:10.797000,2,2
塔什芬,0:00:37.671000,5,5
塔列辛,0:00:03.281000,1,1
塔娜玛尔,0:00:10.531000,2,2
塔尼娜,0:00:25.091000,4,4
塔尼莎,0:00:41.599000,8,8
塔希尔,0:00:06.537000,2,2
塔拉内,0:00:05.384000,2,2
塔杰·拉德卡尼,0:06:35.500000,40,40
塔玛拉,0:00:06.619000,2,2
塔米娜,0:00:07.091000,2,2
塔米米,0:00:06.435000,2,2
塔维妮儿,0:00:07.663000,2,2
塔里克,0:03:29.340000,30,30
塞卡伊,0:00:16.064000,3,3
塞塔蕾,0:11:13.487000,107,107
塞娜,0:00:24.599000,7,7
塞库菈,0:00:08.459000,2,2
塞律里埃,0:00:10.688000,3,3
塞德娜,0:04:32.115000,42,42
塞琉斯,0:18:59.967000,154,154
塞萨尔的日记,0:04:56.069000,25,25
夏妮,0:04:13.141000,34,34
夏姆,0:00:02.747000,1,1
夏沃蕾,0:39:40.717000,416,416
夏洛蒂,0:58:36.443000,481,481
夙凌,0:00:04.060000,1,1
多加,0:00:09.212000,2,2
多梅尼科,0:01:37.144000,18,18
多洛拉,0:00:23.284000,4,4
多莉,0:41:14.068000,290,290
夜兰,1:10:52.223000,681,681
大久保大介,0:00:41.275000,8,8
大助,0:01:07.080000,11,11
大卫,0:00:19.347000,5,5
大和田,0:03:27.700000,33,33
大坤,0:00:16.077000,4,4
大岛纯平,0:00:02.932000,1,1
大徐,0:00:53.004000,7,7
大慈树王,0:05:40.881000,53,53
大森,0:00:50.019000,9,9
大武,0:00:49.551000,12,12
大河原五右卫门,0:00:20.364000,4,4
大泉,0:00:07.337000,2,2
大盗,0:01:17.860000,14,14
大祐,0:00:01.511000,1,1
大脚,0:00:38.801000,6,6
大辅,0:02:16.468000,28,28
大邋遢,0:00:03.661000,1,1
大隆,0:02:27.881000,30,30
大黄,0:00:09.807000,2,2
天叔,0:14:30.607000,86,86
天守阁守卫,0:00:13.195000,10,10
天守阁守卫 倒地,0:00:03.076000,2,2
天成,0:00:10.864000,3,3
天权幕僚,0:00:03.845000,1,1
天目优也,0:01:06.287000,14,14
天目十五,0:11:12.044000,71,71
天野,0:00:52.423000,12,12
天音,0:01:06.199000,6,6
天领奉行士兵,0:00:01.427000,2,2
天领奉行护卫,0:00:03.729000,1,1
太田太郎,0:00:02.332000,1,1
太郎丸,0:00:11.997000,8,8
失去战意的机械螃蟹,0:00:01.669000,1,1
失望的观众,0:00:04.196000,1,1
奇妙的船,0:02:46.069000,22,22
奇恩,0:00:25.536000,8,8
奇拉,0:00:07.544000,2,2
奈拉,0:00:10.321000,2,2
奏太,0:00:24.349000,7,7
奥乌兹,0:00:17.839000,5,5
奥兹,0:22:31.825000,187,187
奥利维亚,0:00:05.767000,1,1
奥古斯都·洛夫莱斯,0:00:03.360000,1,1
奥拉夫,0:01:56.933000,21,21
奥格劳,0:00:51.564000,7,7
奥泰巴,0:03:20.013000,26,26
奥特,0:01:50.196000,25,25
奥瑟莱,0:01:19.625000,17,17
奥贝德,0:00:04.875000,2,2
奥雷乌斯,0:00:09.587000,2,2
女孩,0:01:01.711000,11,11
女性信众,0:00:44.072000,8,8
好奇的帕琪,0:00:18.228000,4,4
好奇的村民,0:00:15.419000,4,4
如意,0:00:19.539000,2,2
妮基娜,0:00:09.549000,2,2
妮欧莎,0:01:34.729000,16,16
妮维妲,0:00:21.144000,5,5
妮露,1:03:21.301000,658,658
妲卡玛忒,0:00:08.544000,2,2
威拉格,0:00:03.488000,1,1
娜丝琳,0:00:27.731000,7,7
娜德瓦,0:04:37.404000,40,40
娜斯米儿,0:00:48.249000,14,14
娜比雅,0:03:31.759000,33,33
娜泽宁,0:00:21.121000,5,5
娜维娅,2:05:43.005000,1114,1114
娜蒂亚,0:00:22.535000,6,6
婕叶,0:00:11.856000,3,3
婵儿,0:00:33.015000,9,9
婷婷,0:00:09.593000,3,3
孙宇,0:00:01.963000,1,1
孝利,0:01:13.532000,10,10
孟丹,0:01:06.444000,9,9
孟迪尔,0:01:51.251000,22,22
季同,0:00:05.225000,1,1
学者,0:02:00.908000,17,17
孩子们,0:00:13.315000,5,5
孩童,0:00:42.736000,7,7
宁禄,0:06:20.421000,54,54
守卫,0:01:06.725000,14,14
守卫们,0:00:02.419000,2,2
守卫长官,0:00:03.907000,1,1
安东尼,0:00:11.068000,3,3
安妮塞,0:00:09.276000,2,2
安娜,0:00:11.845000,3,3
安娜斯塔西娅,0:00:30.375000,8,8
安托万,0:02:06.857000,18,18
安普叔,0:01:59.657000,18,18
安柏,0:48:56.759000,687,687
安武,0:02:24.904000,22,22
安田,0:00:04.063000,1,1
安藤,0:00:09.321000,2,2
安西,0:05:05.016000,33,33
安顺,0:00:30.575000,6,6
宏一,0:02:43.367000,24,24
宏宇,0:00:11.967000,3,3
宏达,0:03:15.864000,29,29
宏飞,0:00:23.037000,4,4
宛烟,0:07:37.208000,90,90
宜年,0:00:56.515000,12,12
宝儿,0:00:03.644000,1,1
审问,0:01:09.463000,10,10
宫崎三朗,0:00:04.252000,1,1
宵宫,1:38:34.964000,1046,1046
家臣们,0:00:02.805000,1,1
宽则,0:00:27.237000,7,7
寅杰,0:00:06.829000,2,2
密兹里,0:00:07.455000,1,1
富拉特,0:00:09.420000,2,2
富贵,0:00:03.471000,1,1
寺田,0:00:03.036000,1,1
导演,0:00:06.761000,2,2
将司,0:02:36.500000,30,30
小乐,0:02:24.836000,34,34
小五,0:01:42.383000,22,22
小仓优,0:00:04.364000,1,1
小仓澪,0:06:22.373000,59,59
小六,0:00:05.263000,1,1
小冥,0:00:45.669000,10,10
小千,0:00:30.805000,6,6
小卷,0:00:04.473000,1,1
小吉,0:00:01.605000,1,1
小威,0:00:01.712000,1,1
小安,0:00:14.535000,4,4
小山,0:00:02.191000,1,1
小川,0:04:18.464000,43,43
小弟,0:00:07.241000,1,1
小德,0:00:07.516000,2,2
小斌,0:00:32.761000,9,9
小星,0:00:06.945000,2,2
小春,0:00:06.356000,2,2
小昭,0:00:21.785000,6,6
小月,0:00:03.960000,1,1
小林,0:00:21.757000,5,5
小漫,0:00:04.065000,1,1
小猛,0:00:03.209000,1,1
小王子,0:00:02.055000,3,3
小玲,0:00:37.535000,5,5
小畑,0:00:05.968000,2,2
小百合,0:00:05.196000,1,1
小绿,0:00:02.373000,1,1
小羽,0:00:03.956000,1,1
小茜,0:00:03.408000,1,1
小蒙,0:00:33.684000,5,5
小辛焱,0:00:12.725000,2,2
小郁,0:00:27.560000,4,4
小野,0:00:07.417000,2,2
小野寺,0:05:01.157000,48,48
小野田,0:00:02.085000,1,1
小雀儿,0:00:03.139000,1,1
小雨,0:00:04.345000,1,1
小龙,0:00:54.320000,13,13
少女辛焱,0:00:02.608000,1,1
尚,0:00:07.824000,6,6
尚博迪克,0:02:03.667000,21,21
尤兹贾尼,0:00:06.632000,2,2
尤努斯,0:00:07.715000,2,2
尤夫腾,0:00:02.111000,1,1
尤苏波夫,0:04:34.559000,33,33
尤骏,0:00:02.539000,1,1
尼卡,0:00:07.281000,2,2
尼姆,0:00:11.607000,2,2
尼扎姆,0:00:11.861000,3,3
尼达尔,0:00:30.015000,6,6
尽责的守卫,0:00:01.953000,1,1
居安,0:00:36.036000,5,5
山上,0:00:12.440000,3,3
山城健太,0:00:04.831000,1,1
山田,0:00:05.305000,1,1
岚姐,0:03:50.231000,41,41
岛政兴,0:00:04.455000,1,1
岩夫,0:03:38.885000,38,38
岩田,0:00:20.357000,3,3
岳川,0:00:02.832000,1,1
巡林员,0:00:34.683000,7,7
巡林护卫,0:00:35.224000,5,5
工人打扮的男子,0:00:09.651000,1,1
左右加,0:00:59.020000,11,11
巫女,0:04:18.553000,42,42
巴丝玛,0:00:16.416000,4,4
巴克尔,0:00:25.351000,8,8
巴兰,0:00:05.128000,2,2
巴哈利,0:04:07.967000,31,31
巴哈拉克,0:00:06.241000,2,2
巴尔塔萨,0:02:04.651000,19,19
巴尔马克,0:00:08.424000,2,2
巴巴,0:00:16.179000,3,3
巴巴克,0:00:08.308000,2,2
巴巴尔,0:00:10.400000,2,2
巴沙尔,0:01:51.361000,19,19
巴蒂斯特,0:04:01.555000,39,39
巴达维,0:10:41.413000,69,69
巴迪斯,0:00:44.012000,6,6
巴顿,0:01:14.359000,13,13
布兰琪,0:00:47.032000,12,12
布尔米耶,0:01:45.628000,21,21
布洛克,0:02:00.848000,20,20
布特罗斯,0:00:04.785000,2,2
布瓦洛,0:00:01.897000,1,1
布鲁斯,0:01:05.781000,11,11
希尔米,0:00:03.827000,2,2
希忒,0:00:49.161000,10,10
希拉非,0:00:08.468000,2,2
希格雯,0:15:24.773000,144,144
希沙姆,0:00:56.904000,12,12
希琳,0:00:09.759000,2,2
希茉妮,0:00:16.036000,4,4
帕丽莎,0:00:06.325000,2,2
帕奇,0:00:22.297000,7,7
帕巴格,0:00:53.604000,14,14
帕帕克,0:01:44.664000,20,20
帕斯里,0:00:01.624000,1,1
帕森,0:00:05.567000,2,2
帕纳,0:01:48.841000,16,16
帕维尔,0:00:06.187000,2,2
帕维耶,0:02:28.248000,23,23
常丰,0:00:23.851000,5,5
常九爷,0:05:51.788000,52,52
平井,0:01:16.196000,10,10
平八,0:00:02.341000,1,1
平冢,0:00:11.215000,2,2
平山,0:03:27.027000,36,36
平庸的武士,0:00:27.195000,4,4
平泉,0:00:21.900000,5,5
平海,0:00:02.143000,1,1
平野,0:01:18.653000,15,15
年轻的守卫,0:00:15.573000,4,4
幸也,0:00:00.839000,1,1
幸德,0:01:42.267000,16,16
幸雄,0:00:03.011000,1,1
广播,0:00:06.259000,1,1
广海,0:00:08.801000,3,3
广竹,0:00:06.591000,1,1
庆兴,0:00:02.311000,1,1
庆次郎,0:01:25.636000,19,19
库什基,0:00:12.013000,2,2
库塞拉,0:02:31.829000,25,25
库尔苏姆,0:00:15.177000,4,4
库拉什,0:00:05.137000,2,2
库斯图,0:04:35.001000,34,34
库洛什,0:00:47.637000,13,13
