角色名,总时长(时:分:秒.毫秒),音频数量,标注数量
兴修,0:01:55.851000,25,25
兴叔,0:01:13.343000,14,14
兴奋的观众,0:00:18.321000,8,8
其老爷,0:00:02.639000,1,1
内嘉,0:00:49.091000,12,12
内尔敏,0:00:06.699000,2,2
内村,0:00:44.647000,14,14
内森,0:00:06.597000,2,2
内海,0:00:04.501000,1,1
冈崎绘里香,0:00:08.164000,2,2
冈崎陆斗,0:00:31.035000,6,6
冈林,0:00:34.771000,8,8
冒失的帕拉德,0:02:29.065000,32,32
冒险家,0:00:28.543000,5,5
农夫,0:00:13.573000,2,2
冰封之心,0:01:28.272000,9,9
冷静的守卫,0:00:06.668000,2,2
凉子,0:00:12.205000,4,4
凝光,1:26:28.029000,904,904
几原凯,0:00:03.436000,1,1
凯万,0:00:07.812000,2,2
凯亚,1:41:39.657000,1303,1303
凯叔,0:00:09.115000,2,2
凯瑟琳,0:27:35.991000,330,330
凯西娅,0:03:18.603000,36,36
凶恶的男人,0:00:05.513000,3,3
刀疤刘,0:01:25.544000,16,16
判官儿,0:00:01.884000,1,1
利弗,0:00:26.739000,7,7
利彦,0:00:38.109000,9,9
利文斯通博士,0:00:05.275000,2,2
利瓦尔,0:00:03.417000,1,1
刺玫会成员,0:00:30.181000,6,6
刻晴,0:51:08.188000,609,609
刻薄的男子,0:00:15.644000,2,2
削月筑阳真君,0:02:52.292000,32,32
前田,0:00:13.941000,4,4
剑鱼二番队代理队长,0:00:19.799000,5,5
剑鱼二番队老兵,0:00:20.624000,3,3
加埃特,0:00:33.351000,9,9
加扎里,0:00:11.833000,4,4
加斯帕尔,0:00:18.797000,5,5
加斯顿,0:00:06.339000,2,2
加福尔,0:03:10.020000,29,29
加萨尼,0:03:50.803000,48,48
加藤信悟,0:01:27.483000,14,14
加藤洋平,0:03:40.928000,45,45
加里克,0:00:11.688000,3,3
动摇的剑客,0:00:08.961000,1,1
努查赫,0:00:06.805000,1,1
劳伦斯,0:02:20.283000,35,35
劳维克,0:09:23.105000,107,107
劳莉,0:00:13.133000,4,4
勒泰利埃,0:00:02.601000,1,1
勘解由小路健三郎,0:00:15.029000,2,2
勤奋的武士,0:00:31.453000,6,6
勿忘,0:00:04.240000,1,1
匆忙的囚犯,0:00:01.493000,1,1
北斗,1:03:14.493000,860,860
北村,0:02:00.273000,23,23
千叶,0:00:05.195000,2,2
千岩军士兵,0:00:33.772000,14,14
千岩军教头,0:00:07.376000,2,2
千晶,0:00:06.036000,2,2
千织,0:04:34.703000,91,91
卉卉,0:00:07.492000,3,3
半四郎,0:00:28.236000,5,5
华清,0:00:20.824000,7,7
卓也,0:03:46.441000,51,51
卓英,0:00:11.855000,4,4
卖力的西瑞,0:00:09.087000,3,3
博学的武人,0:00:05.047000,1,1
博尼法兹,0:00:04.497000,2,2
博彦,0:00:42.939000,10,10
博易,0:05:44.620000,63,63
博来,0:07:52.267000,94,94
博纳,0:00:20.517000,6,6
博行,0:00:07.263000,2,2
博诺,0:00:11.539000,5,5
卜劳恩,0:00:01.563000,1,1
卡丁,0:00:43.276000,9,9
卡万,0:00:27.503000,6,6
卡乌斯,0:00:11.183000,4,4
卡利贝尔,0:00:56.843000,16,16
卡卡塔,0:00:10.925000,8,8
卡嘉妮,0:00:02.809000,2,2
卡塔扬,0:01:03.825000,14,14
卡姆兰,0:00:08.093000,3,3
卡姆拉,0:00:07.968000,2,2
卡斯帕,0:00:04.497000,1,1
卡格姆尼,0:00:10.936000,4,4
卡桑,0:00:22.121000,5,5
卡玛尔,0:01:36.509000,19,19
卡琵莉亚,0:00:46.452000,10,10
卡瓦贾,0:01:03.531000,10,10
卡维,1:38:56.056000,993,993
卡莉娜,0:04:45.531000,53,53
卡莉露,0:08:30.443000,100,100
卡萝蕾,0:02:13.321000,33,33
卡西特,0:01:23.999000,23,23
卡西米,0:00:25.349000,7,7
卡里尔,0:00:21.720000,4,4
卡里玛,0:00:08.316000,2,2
卡门,0:00:22.777000,6,6
卡齐姆,0:00:10.781000,2,2
卢克,0:00:07.841000,3,3
卢卡,0:01:05.639000,19,19
卢森巴博,0:00:54.008000,17,17
卢正,0:00:35.136000,8,8
卫兵,0:00:33.199000,7,7
卯师傅,0:03:37.611000,43,43
厄桑,0:00:07.416000,2,2
厨师,0:00:08.421000,2,2
参赛者,0:00:37.111000,17,17
友人,0:00:07.753000,2,2
友浩,0:00:05.547000,2,2
友里,0:00:22.911000,7,7
双叶,0:00:02.273000,1,1
反抗军士兵,0:00:04.747000,2,2
反驳的观众,0:00:07.875000,1,1
受灾的女性居民,0:00:07.077000,2,2
受灾的男性居民,0:00:11.256000,3,3
古尔根,0:00:13.227000,4,4
古山,0:04:17.205000,30,30
古德温,0:00:09.033000,3,3
古思塔斯普,0:00:05.484000,2,2
古拉姆,0:00:20.295000,4,4
古拉布吉尔,0:00:03.631000,2,2
古泽,0:00:37.951000,12,12
古田,0:03:57.965000,29,29
古谷升,0:01:50.109000,17,17
古齐安,0:00:08.356000,2,2
另一只浮游水蕈兽,0:00:00.920000,1,1
可疑的路人,0:00:56.776000,21,21
可莉,1:03:45.144000,895,895
史蒂文斯,0:00:03.948000,1,1
叶卡捷琳娜,0:01:46.316000,24,24
叶名山薰,0:00:02.324000,1,1
叶戈尔,0:00:06.440000,2,2
叹气的观众,0:00:02.932000,1,1
合成,0:01:06.315000,6,6
吉丽安娜,0:00:04.601000,2,2
吉尼亚克,0:00:16.112000,5,5
吉川,0:00:22.553000,4,4
吉沃尼,0:00:27.491000,4,4
吉盖克斯,0:00:02.493000,1,1
吉祥,0:00:16.980000,3,3
向明,0:00:02.021000,1,1
君君,0:00:34.496000,10,10
吴老七,0:00:32.452000,6,6
吴老二,0:01:44.756000,23,23
吴老五,0:00:31.585000,6,6
吴船长,0:07:45.157000,73,73
周平,0:01:01.072000,11,11
周良,0:01:06.759000,16,16
命运使徒,0:00:20.649000,3,3
和声,0:00:01.543000,1,1
和昭,0:00:58.156000,14,14
和泉那希,0:00:26.791000,7,7
咲耶,0:00:01.340000,1,1
哈亚提,0:00:02.507000,1,1
哈伦,0:01:48.217000,26,26
哈兹姆,0:00:08.359000,2,2
哈勒敦,0:00:07.305000,3,3
哈坎,0:00:09.520000,4,4
哈多,0:01:54.181000,17,17
哈夫丹,0:00:18.344000,3,3
哈姆宰,0:00:21.533000,6,6
哈尔瓦,0:00:15.792000,4,4
哈尔瓦尼,0:00:05.128000,2,2
哈巴奇,0:00:03.548000,2,2
哈彦,0:00:03.967000,1,1
哈扬,0:00:09.603000,2,2
哈拉夫,0:00:43.459000,10,10
哈桑,0:00:05.191000,2,2
哈比,0:00:05.009000,1,1
哈比卜,0:00:06.732000,1,1
哈特姆,0:00:11.763000,3,3
哈特曼,0:00:29.532000,4,4
哈琳,0:00:05.452000,2,2
哈瓦,0:00:06.179000,2,2
哈瓦德,0:00:07.033000,2,2
哈立德,0:00:09.864000,2,2
哈里,0:00:29.599000,8,8
哈里斯,0:00:03.959000,1,1
哈里森,0:00:23.624000,6,6
哈马沙,0:00:05.104000,1,1
哈马维,0:00:10.151000,2,2
响太,0:00:54.373000,10,10
哲夫,0:01:13.373000,14,14
哲平,0:13:30.093000,163,163
哲瓦德,0:01:14.924000,16,16
哲远,0:00:03.345000,1,1
唐娜,0:03:31.141000,43,43
唐无仇,0:00:03.997000,1,1
商人,0:03:54.703000,40,40
商人信众,0:00:32.137000,6,6
商华,0:02:12.932000,23,23
喜儿,0:00:02.055000,1,1
喝彩的观众,0:00:01.924000,1,1
嘉久,0:00:54.753000,13,13
嘉义,0:02:18.159000,27,27
嘉玛,0:08:08.604000,75,75
嘉玮,0:00:03.261000,1,1
嘉良,0:07:52.944000,78,78
嘉铭,0:00:01.422000,1,1
嘲笑的观众,0:00:08.776000,3,3
回声海螺,0:11:00.465000,86,86
回忆中的声音,0:00:53.715000,12,12
回忆中的小五,0:00:21.825000,4,4
回忆中的木木,0:00:22.357000,4,4
回忆中的狼哥,0:00:13.087000,3,3
回忆中的老孟,0:00:10.719000,2,2
回忆中的聪子,0:00:26.624000,4,4
回忆心声,0:00:07.228000,2,2
回过神来的观众,0:00:04.909000,1,1
困惑的观众,0:00:07.453000,3,3
国王,0:01:03.969000,13,13
图斯,0:00:55.513000,8,8
图昂,0:00:54.947000,9,9
图曼,0:00:05.911000,2,2
图马特,0:00:17.744000,3,3
土门,0:01:35.785000,17,17
坂本,0:00:13.077000,4,4
坎蒂丝,0:26:30.504000,280,280
坦吉,0:00:02.741000,1,1
埃克朗谢,0:00:08.039000,3,3
埃兰,0:01:25.403000,18,18
埃勒曼,0:06:51.283000,95,95
埃塞尔雷德,0:00:42.425000,10,10
埃夫拉,0:00:05.251000,1,1
埃尔凡,0:00:12.085000,3,3
埃尔庇艾,0:00:11.500000,3,3
埃尔欣根,0:06:26.503000,44,44
埃德,0:22:28.199000,254,254
埃德蒙多,0:01:34.639000,16,16
埃斯蒙德,0:03:18.149000,36,36
埃松,0:00:09.404000,3,3
埃桑,0:00:12.680000,5,5
埃泽,0:06:20.812000,70,70
埃洛伊,0:10:07.533000,120,120
埃米雷德,0:00:38.041000,12,12
埃舍尔,0:02:47.751000,19,19
城门守卫,0:00:11.235000,3,3
基娅拉,0:04:01.013000,45,45
基翁,0:00:10.771000,2,2
塔什芬,0:00:32.199000,5,5
塔列辛,0:00:02.280000,1,1
塔娜玛尔,0:00:06.401000,2,2
塔尼娜,0:00:26.369000,4,4
塔尼莎,0:00:40.835000,8,8
塔希尔,0:00:05.876000,2,2
塔拉内,0:00:03.215000,2,2
塔杰·拉德卡尼,0:06:28.896000,40,40
塔玛拉,0:00:03.720000,2,2
塔米娜,0:00:07.261000,2,2
塔米米,0:00:06.435000,2,2
塔维妮儿,0:00:06.192000,2,2
塔里克,0:03:28.376000,30,30
塞卡伊,0:00:15.477000,3,3
塞塔蕾,0:10:01.997000,107,107
塞娜,0:00:29.175000,7,7
塞库菈,0:00:05.509000,2,2
塞律里埃,0:00:10.876000,3,3
塞德娜,0:03:45.921000,42,42
塞琉斯,0:13:09.136000,148,148
塞萨尔的日记,0:04:06.935000,25,25
夏妮,0:03:46.760000,34,34
夏姆,0:00:02.343000,1,1
夏沃蕾,0:35:15.073000,416,416
夏洛蒂,0:53:38.417000,481,481
夙凌,0:00:03,1,1
多加,0:00:09.263000,2,2
多梅尼科,0:01:29.365000,18,18
多洛拉,0:00:24.156000,4,4
多莉,0:35:41.313000,290,290
夜兰,1:02:23.329000,681,681
大久保大介,0:00:32.575000,8,8
大助,0:00:55.371000,11,11
大卫,0:00:18.143000,5,5
大和田,0:03:18.424000,33,33
大坤,0:00:09.895000,4,4
大岛纯平,0:00:03.032000,1,1
大徐,0:00:42.653000,7,7
大慈树王,0:05:55.499000,55,55
大森,0:00:38.349000,9,9
大武,0:00:43.580000,12,12
大河原五右卫门,0:00:16.517000,4,4
大泉,0:00:07.171000,2,2
大盗,0:01:11.597000,14,14
大祐,0:00:01.200000,1,1
大肉丸,0:02:10.761000,22,22
大脚,0:00:38.839000,6,6
大辅,0:01:28.692000,28,28
大迷糊,0:00:08.264000,1,1
大邋遢,0:00:02.601000,1,1
大隆,0:02:05.324000,30,30
大黄,0:00:07.936000,2,2
天叔,0:10:05.547000,86,86
天守阁守卫,0:00:24.687000,12,12
天成,0:00:04.421000,2,2
天权幕僚,0:00:04.400000,1,1
天目优也,0:00:53.341000,14,14
天目十五,0:08:56.039000,71,71
天野,0:00:43.707000,12,12
天音,0:01:10.709000,6,6
天领奉行士兵,0:00:02.052000,1,1
天领奉行护卫,0:00:04.320000,1,1
太田太郎,0:00:03.157000,1,1
太郎丸,0:00:11.997000,8,8
失去战意的机械螃蟹,0:00:01.669000,1,1
失望的观众,0:00:12.667000,2,2
奇恩,0:00:23.747000,8,8
奇拉,0:00:07.397000,2,2
奈拉,0:00:10.648000,2,2
奏太,0:00:20.491000,7,7
奔雷手秦师傅,0:00:06.903000,2,2
奥乌兹,0:00:12.443000,5,5
奥兹,0:15:01.208000,187,187
奥利维亚,0:00:04.976000,1,1
奥古斯都·洛夫莱斯,0:00:01.693000,1,1
奥拉夫,0:01:31.512000,21,21
奥格劳,0:00:45.599000,7,7
奥泰巴,0:03:00.735000,26,26
奥特,0:01:35.265000,25,25
奥瑟莱,0:01:01.224000,17,17
奥贝德,0:00:04.149000,2,2
奥雷乌斯,0:00:07.533000,2,2
女孩,0:00:54.475000,11,11
女性信众,0:00:36.237000,8,8
好奇的帕琪,0:00:15.321000,4,4
好奇的村民,0:00:16.536000,4,4
如意,0:00:16.356000,2,2
妮基娜,0:00:06.057000,2,2
妮欧莎,0:01:18.719000,16,16
妮维妲,0:00:21.125000,5,5
妮露,0:58:51.788000,658,658
妲卡玛忒,0:00:07.075000,2,2
威严的男子,0:01:23.597000,22,22
威拉格,0:00:03.353000,1,1
娜丝琳,0:00:24.617000,7,7
娜德瓦,0:04:03.037000,40,40
娜斯米儿,0:00:41.891000,14,14
娜比雅,0:03:23.113000,33,33
娜泽宁,0:00:16.308000,5,5
娜维娅,1:58:08.537000,1260,1260
娜蒂亚,0:00:14.743000,6,6
婕叶,0:00:12.164000,3,3
婵儿,0:00:30.868000,9,9
婷婷,0:00:08.010000,3,3
孙宇,0:00:02.908000,1,1
孝利,0:01:03.387000,10,10
孟丹,0:00:53.765000,9,9
孟迪尔,0:01:46.129000,22,22
季同,0:00:02.965000,1,1
孩子们,0:00:10.989000,5,5
孩童,0:00:50.492000,7,7
宁禄,0:04:49.299000,53,53
守卫们,0:00:03.864000,2,2
守卫长官,0:00:04.611000,1,1
安东尼,0:00:09.569000,3,3
安妮塞,0:00:11.843000,3,3
安娜,0:00:11.500000,3,3
安娜斯塔西娅,0:00:29.707000,8,8
安德烈,0:00:37.249000,11,11
安托万,0:01:40.704000,18,18
安普叔,0:01:41.879000,18,18
安柏,0:44:55.319000,687,687
安武,0:01:51.119000,22,22
安田,0:00:03.365000,1,1
安藤,0:00:09.540000,2,2
安西,0:05:03.179000,38,38
安顺,0:00:25.679000,6,6
宏一,0:00:01.948000,1,1
宏宇,0:00:11.428000,3,3
宏达,0:02:35.676000,29,29
宏飞,0:00:17.736000,4,4
宛烟,0:07:42.972000,90,90
宜年,0:01:01.409000,12,12
宝儿,0:00:03.159000,1,1
审问,0:01:07.327000,10,10
宫崎三朗,0:00:03.821000,1,1
宵宫,1:28:47.529000,1045,1045
家臣们,0:00:02.955000,1,1
宽则,0:00:22.989000,7,7
寅杰,0:00:05.105000,2,2
密兹里,0:00:03.813000,1,1
富拉特,0:00:06.212000,2,2
富贵,0:00:02.869000,1,1
寒锋,0:00:03.272000,1,1
寺田,0:00:03.951000,1,1
导演,0:00:07.329000,2,2
将司,0:01:51.016000,30,30
小乐,0:02:27.271000,34,34
小五,0:01:22.305000,22,22
小仓优,0:00:04.184000,1,1
小仓澪,0:04:59.989000,59,59
小伟,0:00:05.489000,2,2
小六,0:00:02.903000,1,1
小冥,0:00:53.567000,10,10
小千,0:00:20.880000,6,6
小卷,0:00:05.124000,1,1
小吉,0:00:02.117000,1,1
小威,0:00:02.336000,1,1
小安,0:00:11.645000,4,4
小山,0:00:02.283000,1,1
小川,0:03:40.047000,43,43
小弟,0:00:12.223000,2,2
小征,0:00:03,1,1
小德,0:00:06.376000,2,2
小斌,0:00:21.861000,9,9
小星,0:00:04.288000,2,2
小春,0:00:04.059000,2,2
小昭,0:00:18.248000,6,6
小月,0:00:04.095000,1,1
小林,0:00:15.188000,5,5
小漫,0:00:03.049000,1,1
小猛,0:00:03.372000,1,1
小玲,0:00:43.195000,5,5
小畑,0:00:04.195000,2,2
小百合,0:00:03.632000,1,1
小绿,0:00:02.948000,1,1
小羽,0:00:03.749000,1,1
小茜,0:00:03.940000,1,1
小蒙,0:00:28.683000,5,5
小辛焱,0:00:06.715000,2,2
小郁,0:00:18.208000,4,4
小野,0:00:08.204000,2,2
小野寺,0:04:30.380000,48,48
小野田,0:00:01.988000,1,1
小雀儿,0:00:02.253000,1,1
小雨,0:00:02.364000,1,1
小龙,0:00:44.625000,13,13
少女辛焱,0:00:01.525000,1,1
尚,0:00:07.444000,6,6
尚博迪克,0:01:29.040000,21,21
尤兹贾尼,0:00:05.687000,2,2
尤努斯,0:00:05.424000,2,2
尤夫腾,0:00:03.757000,1,1
尤苏波夫,0:03:57.551000,33,33
尤骏,0:00:01.834000,1,1
尼卡,0:00:05.017000,2,2
尼姆,0:00:07.800000,2,2
尼尔森,0:00:04.856000,2,2
尼扎姆,0:00:11.044000,3,3
尼达尔,0:00:21.924000,6,6
尽责的守卫,0:00:02.339000,1,1
居勒什,0:00:38.972000,6,6
居安,0:00:27.680000,5,5
山上,0:00:11.315000,3,3
山城健太,0:00:03.412000,1,1
山田,0:00:02.776000,1,1
岚姐,0:03:13.888000,41,41
岛政兴,0:00:03.305000,1,1
岩夫,0:02:40.152000,38,38
岩田,0:00:14.101000,3,3
岳川,0:00:02.388000,1,1
巡林员,0:00:29.944000,7,7
巡林护卫,0:00:32.437000,5,5
巡逻足轻,0:00:05.413000,2,2
工人打扮的男子,0:00:08,1,1
左右加,0:00:49.243000,11,11
巫女,0:03:45.427000,42,42
巴丝玛,0:00:13.563000,4,4
巴克尔,0:00:32.031000,8,8
巴兰,0:00:04.871000,2,2
巴哈利,0:03:24.836000,31,31
巴哈拉克,0:00:04.264000,2,2
巴尔塔萨,0:01:55.139000,19,19
巴尔马克,0:00:07.591000,2,2
巴巴,0:00:15.371000,3,3
巴巴克,0:00:06.029000,2,2
巴巴尔,0:00:08.797000,2,2
巴沙尔,0:01:39.132000,19,19
巴蒂斯特,0:03:08.343000,39,39
巴达维,0:08:28.903000,69,69
巴迪斯,0:00:42.499000,6,6
巴顿,0:00:58.064000,13,13
布兰琪,0:00:52.297000,12,12
布尔米耶,0:01:28.753000,21,21
布洛克,0:01:32.128000,20,20
布特罗斯,0:00:03.780000,2,2
布瓦洛,0:00:01.995000,1,1
布鲁斯,0:00:59.104000,11,11
希尔米,0:00:02.860000,2,2
希忒,0:00:39.027000,10,10
希拉非,0:00:07.347000,2,2
希格雯,0:13:39.144000,144,144
希沙姆,0:00:44.419000,12,12
希琳,0:00:07.561000,2,2
希茉妮,0:00:14.404000,4,4
帕丽莎,0:00:05.823000,2,2
帕奇,0:00:22.847000,7,7
帕巴格,0:00:39.999000,14,14
帕帕克,0:01:30.961000,20,20
帕斯里,0:00:02.276000,1,1
帕森,0:00:04.016000,2,2
帕纳,0:01:25.183000,16,16
帕维尔,0:00:05.995000,2,2
帕维耶,0:02:15.832000,23,23
常丰,0:00:15.973000,5,5
常九爷,0:06:30.236000,52,52
平井,0:01:00.608000,10,10
平八,0:00:02.896000,1,1
平冢,0:00:07.547000,2,2
平山,0:03:13.401000,34,34
平庸的武士,0:00:23.191000,4,4
平泉,0:00:24.121000,5,5
平海,0:00:02.764000,1,1
平野,0:01:01.892000,15,15
幸也,0:00:01.664000,1,1
幸德,0:01:15.981000,16,16
幸雄,0:00:02.757000,1,1
广播,0:00:05.888000,1,1
广海,0:00:06.057000,3,3
广竹,0:00:05.916000,1,1
庆兴,0:00:03.051000,1,1
庆次郎,0:01:22.691000,19,19
库什基,0:00:08.829000,2,2
库塞拉,0:02:20.023000,25,25
库尔苏姆,0:00:07.707000,4,4
库拉什,0:00:05.744000,2,2
库斯图,0:03:48.028000,34,34
库洛什,0:00:48.835000,13,13
库洛德莫,0:00:07.244000,1,1
